freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
8.12830516164095e+02,-2.86566986575275e+01,-1.57952524802338e+02,-5.69920942644758e+01,3.80288884187215e+01,-8.50453873931570e+01,-1.36258411729006e+02
8.31763771102666e+02,-2.90423250916693e+01,-1.58449504629350e+02,-5.77771855255995e+01,3.71560681204076e+01,-8.62443889942763e+01,-1.37296027819253e+02
8.51138038202372e+02,-2.94285820097834e+01,-1.58936337521970e+02,-5.85629559926865e+01,3.63023887782396e+01,-8.74434907933430e+01,-1.38311762887455e+02
8.70963589956076e+02,-2.98154432140982e+01,-1.59413228925503e+02,-5.93493751953682e+01,3.54674008302761e+01,-8.86426919906149e+01,-1.39306291915246e+02
8.91250938133741e+02,-3.02028835372637e+01,-1.59880384370817e+02,-6.01364140713793e+01,3.46506620217944e+01,-8.98419918546592e+01,-1.40280282300776e+02
9.12010839355905e+02,-3.05908788093279e+01,-1.60338009409517e+02,-6.09240449005965e+01,3.38517371710341e+01,-9.10413897239041e+01,-1.41234394959370e+02
9.33254300796986e+02,-3.09794058251551e+01,-1.60786309568591e+02,-6.17122412423744e+01,3.30701979258758e+01,-9.22408850070194e+01,-1.42169285434643e+02
9.54992586021431e+02,-3.13684423123392e+01,-1.61225490324266e+02,-6.25009778759873e+01,3.23056225113849e+01,-9.34404771820465e+01,-1.43085605025174e+02
9.77237220955805e+02,-3.17579668996523e+01,-1.61655757094929e+02,-6.32902307439951e+01,3.15575954680625e+01,-9.46401657941801e+01,-1.43984001931869e+02
9.99999999999994e+02,-3.21479590860640e+01,-1.62077315252957e+02,-6.40799768983633e+01,3.08257073805582e+01,-9.58399504520808e+01,-1.44865122431159e+02
1.02329299228075e+03,-3.25383992103584e+01,-1.62490370155415e+02,-6.48701944491771e+01,3.01095545965164e+01,-9.70398308225684e+01,-1.45729612079274e+02
1.04712854805089e+03,-3.29292684213697e+01,-1.62895127193599e+02,-6.56608625157983e+01,2.94087389351448e+01,-9.82398066235223e+01,-1.46578116952925e+02
